id;tanggal;keterangan;jumlah;bank;cabang;allocate;remark;checked_by;checked_time;checker_status;checker_remark
12;2012-07-09;SETORAN TUNAI;20000000.00;BCA;8075;1;pembayaran PL. KPUM 02646;08/14/12;0000-00-00 00:00:00;0;
13;2012-07-09;SETORAN TUNAI MDN USAHA BARU(5080  ) ;3000000.00;BCA;8115;1;pembayaran cicilan PL. Usaha baru Do:5080;08/14/12;0000-00-00 00:00:00;0;
14;2012-07-09;SETORAN TUNAI JANTI SIANTAR;117000000.00;BCA;8255;0;;08/11/12;0000-00-00 00:00:00;0;
15;2012-07-09;SETORAN TUNAI ZULKIFLI SEMEN 500 SAK  PL NEW ERA 7133 ;20000000.00;BCA;8285;1;pembayaran PL. New era  Do: 7133;08/14/12;0000-00-00 00:00:00;0;
16;2012-07-09;SETORAN TUNAI ZULKIFLI SEMEN 500 SAK  PL ANTARA JAYA 7435 ;20000000.00;BCA;8285;1;pembayaran PL. antara jaya 7435;08/14/12;0000-00-00 00:00:00;0;
17;2012-07-09;TRSF E-BANKING CR 0907/FTSCY/WS95011 58500000.00  bayar semen dari tiga saudara  ROMI;58500000.00;BCA;0;1;pembayaran PL. Tiga saudara 7043, 01833,01823;08/14/12;0000-00-00 00:00:00;0;
18;2012-07-10;SETORAN KLIRING #WARKAT L:01 I:00 KL SEHATI SEJAH  TERA 6374 ;19000000.00;BCA;8115;1;pembayaran PL. Sehati sejahtera 6374;08/14/12;0000-00-00 00:00:00;0;
19;2012-07-10;SETORAN KLIRING #WARKAT L:00 I:01 KL MESTIKA KSR;20000000.00;BCA;8115;1;pembayaran PL. Jasa laut 7360;08/14/12;0000-00-00 00:00:00;0;
20;2012-07-10;SETORAN KLIRING #WARKAT L:00 I:01 KLG-PL SS JAYA  7217 ;19750000.00;BCA;8285;1;pembayaran PL. SS jaya 7217;08/14/12;0000-00-00 00:00:00;0;
21;2012-07-10;SETORAN TUNAI ZAINUDDIN SETORAN DR CV P  UTRA PRATAMA PE MBELIAN 1000 SA  K SEMEN PANTARA;40500000.00;BCA;8280;1;pebayaran CV. Putra pratama 02673,02672;08/15/12;0000-00-00 00:00:00;0;
22;2012-07-10;SETORAN TUNAI BAKRI JAYA LESTARI  IPR ;20000000.00;BCA;8285;1;pembayaran PL. Jaya lestari 7439;08/15/12;0000-00-00 00:00:00;0;
23;2012-07-10;SETORAN TUNAI EDY SUWANTO PEMBY.UANG SEME  N NO.INV 7488 DARI REZEKI MAK  MUR;19750000.00;BCA;52;1;pembayaran PL. Rezeki makmur 7488;08/15/12;0000-00-00 00:00:00;0;
24;2012-07-10;KR OTOMATIS LLG-MESTIKA DHARMA TJIO TJIN TJAI/CAN;19750000.00;BCA;965;1;pembayaran PL. Tetap jaya Kisaran DN01794;08/15/12;0000-00-00 00:00:00;0;
25;2012-07-10;KR OTOMATIS LLG-MESTIKA DHARMA YANTO CHIN JAYA A.;20500000.00;BCA;965;1;pembayaran PL. Sinar gunung 7454;08/15/12;0000-00-00 00:00:00;0;
26;2012-07-10;TRSF E-BANKING CR 10/07  WSID:68901 SOFIAN TAMBA;21850000.00;BCA;0;1;pembayaran PL. Tamba jaya SO02680;08/15/12;0000-00-00 00:00:00;0;
27;2012-07-11;SETORAN KLIRING #WARKAT L:01 I:00 KL PERMATA INDA  H (CBD) ;20000000.00;BCA;8115;1;pembayaran PL. PErmata indah CBD 02633;08/15/12;0000-00-00 00:00:00;0;
28;2012-07-11;SETORAN KLIRING #WARKAT L:01 I:00 SURBAKTI 7196  7223 ;50400000.00;BCA;8115;1;pembayaran PL. Surbakti 7196, 7223;08/15/12;0000-00-00 00:00:00;0;
29;2012-07-11;SETORAN KLIRING #WARKAT L:01 I:00 KL KARYA JAYA 5  428 ;19250000.00;BCA;8115;1;pembayaran PL. karya jaya 5428;08/15/12;0000-00-00 00:00:00;0;
30;2012-07-11;SETORAN KLIRING #WARKAT L:00 I:01 KLG-KARUNIA JA-  YA 7450A ;19750000.00;BCA;8285;1;pembayaran PL. Karunia jaya Do 7450;08/15/12;0000-00-00 00:00:00;0;
31;2012-07-11;SETORAN TUNAI;19500000.00;BCA;8000;1;pembayaran PL. Bahagia jaya bypass 7499;08/15/12;0000-00-00 00:00:00;0;
32;2012-07-11;KR OTOMATIS LLG-CIMB NIAGA GT. RUSMIATY  D/RUSMIATY US KERA SAAN BCA CAB HM YA ;39500000.00;BCA;965;1;pembayaran UD. US  Do 7460, 7539;08/15/12;0000-00-00 00:00:00;0;
33;2012-07-11;SETORAN TUNAI AMAN NST DARI UD PERDANA  IMPORIS NO 7387 ;20000000.00;BCA;297;1;pembayaran PL. Perdana jaya 7387;08/15/12;0000-00-00 00:00:00;0;
34;2012-07-11;KR OTOMATIS LLG-MUAMALAT SUDIR MUHAMMAD YUSUF  TRANSFER SKN MUHAM MAD YUSUF ;21150000.00;BCA;965;1;pembayaran PL. Sumber pembangunan SO02656;08/15/12;0000-00-00 00:00:00;0;
35;2012-07-11;SETORAN TUNAI JAMILAH 500 SAK SEMEN PL AGRO SUKSES M ANDIRI ;14000000.00;BCA;8200;1;pembayaran PL. Agrosukses mandiri Do 7287;08/15/12;0000-00-00 00:00:00;0;
36;2012-07-11;SETORAN TUNAI JAMILAH 500 SAK SEMEN PL NASPA ;20000000.00;BCA;8200;1;pembayaran PL. Naspa DO 7248;08/15/12;0000-00-00 00:00:00;0;
37;2012-07-11;SETORAN TUNAI JAMILAH SEMEN 500 SAK PL MITRA JAYA UT AMA ;19750000.00;BCA;8200;1;pembayaran PL mitra jaya utama DO 7412;08/15/12;0000-00-00 00:00:00;0;
38;2012-07-11;SETORAN TUNAI JAMILAH SEMEN 500 SAK PL RIMBUN JAYA 7 373 ;20000000.00;BCA;8200;1;pembayaran PL. Rimbun jaya DO 7373;08/15/12;0000-00-00 00:00:00;0;
39;2012-07-11;SETORAN TUNAI IDWAN ANUGRAH BRASTAGI-SOPAN KARYA-- PGMBLIAN DARI A  MRIL;5900000.00;BCA;8115;1;pembayaran baddebt PL. Anugrah brastagi(1000.000), Sopan karya(2.900.000), Amril (2000.000);08/15/12;0000-00-00 00:00:00;0;
40;2012-07-12;SETORAN KLIRING #WARKAT L:00 I:01 KLG-MANDIRI  JAYA 7445 ;19875000.00;BCA;8285;1;pembayaran PL. Mandiri jaya DO 7445;08/15/12;0000-00-00 00:00:00;0;
41;2012-07-12;SETORAN KLIRING #WARKAT L:00 I:01 KLG-TB NAGA MAS  7308--7438 ;48250000.00;BCA;8285;0;;08/11/12;0000-00-00 00:00:00;0;
42;2012-07-12;SETORAN KLIRING #WARKAT L:00 I:01 KLG-PL 78  01752 ;20250000.00;BCA;8285;1;pembayaran PL. 78 DN01752;08/15/12;0000-00-00 00:00:00;0;
43;2012-07-12;SETORAN KLIRING #WARKAT L:00 I:01 KLG-SERBA JADI  DN 01728 ;19750000.00;BCA;8285;1;pembayaran PL. Serba jadi DN01728;08/15/12;0000-00-00 00:00:00;0;
44;2012-07-12;TRSF E-BANKING CR 1207/FTSCY/WS95011 39500000.00  UD Bangun Sari DAHNIAR ;39500000.00;BCA;0;1;pembayaran PL. Bangun sari DN01757, DN01756;08/15/12;0000-00-00 00:00:00;0;
45;2012-07-12;SETORAN TUNAI FAHRIZA PEMBELIAN SEMEN  500 SAK A/N FA HRIZA/JAYA PAVI  NG BLOK;20250000.00;BCA;383;1;pembayaran PL. Jaya Block DN01891;08/15/12;0000-00-00 00:00:00;0;
46;2012-07-13;SETORAN KLIRING #WARKAT L:00 I:01 KL MANDIRI KSR;20000000.00;BCA;8115;1;pembayaran PL. Ridho Do 7181;08/15/12;0000-00-00 00:00:00;0;
47;2012-07-13;SETORAN KLIRING #WARKAT L:01 I:00 KL KENCANA AGUN  G ;158000000.00;BCA;8115;1;pembayaran PL. Kencana agung Do 7087,7069,7101,7110,7063,7270,7253,7131;08/15/12;0000-00-00 00:00:00;0;
48;2012-07-13;SETORAN KLIRING #WARKAT L:01 I:00 KL SIGMA BLOK  7377 ;20000000.00;BCA;8115;1;pembayaran PL. Sigma Block 7377;08/14/12;0000-00-00 00:00:00;0;
49;2012-07-13;SETORAN KLIRING #WARKAT L:00 I:01 KLG-HARAPAN  JAYA 7500 ;9750000.00;BCA;8285;1;pembayaran PL. harapan jaya 7500;08/15/12;0000-00-00 00:00:00;0;
50;2012-07-13;SETORAN KLIRING #WARKAT L:01 I:00 KLG-ABANG ADEK  7482 ;20000000.00;BCA;8285;1;pembayaran PL. abang adek Do 7482;08/15/12;0000-00-00 00:00:00;0;
51;2012-07-13;SETORAN KLIRING #WARKAT L:00 I:01 KLG-KARUNIA JA  YA 01753--01764 ;39500000.00;BCA;8285;1;pembayaran PL. Karunia jaya DN01753,01764;08/15/12;0000-00-00 00:00:00;0;
52;2012-07-13;SETORAN KLIRING #WARKAT L:00 I:01 KLG-BIMA MAJU  DN 01724 ;20250000.00;BCA;8285;1;pembayaran PL. Bima maju DN01724;08/15/12;0000-00-00 00:00:00;0;
53;2012-07-13;SETORAN TUNAI ANI JINGGA/OBOR PELUNASAN FAK 2  8/5/12 30/5/12 ;39250000.00;BCA;8200;1;pembayaran PL. Obor Do 6944,6994;08/15/12;0000-00-00 00:00:00;0;
54;2012-07-13;SETORAN TUNAI CV.ALWI 1000 SAK CV ALW  I ;38500000.00;BCA;8235;1;pembayaran CV. Alwi Do 7211, 7356;08/15/12;0000-00-00 00:00:00;0;
55;2012-07-13;SETORAN TUNAI PL.BERKAT USAHA 1000 SAK PL.BER  KAT USAHA TANI ;41700000.00;BCA;8235;1;pembayaran PL. Berkat usaha tani Do 6649, 6990;08/15/12;0000-00-00 00:00:00;0;
56;2012-07-13;KR OTOMATIS LLG-PERMATA HAYAM CV MITRA PERKASA  BCA MEDAN;20500000.00;BCA;965;1;pebayaran CV. Mitra perkasa DN01931;08/15/12;0000-00-00 00:00:00;0;
57;2012-07-13;SETORAN TUNAI;11250000.00;BCA;349;1;pembayaran PL. Nirma SO02716;08/15/12;0000-00-00 00:00:00;0;
58;2012-07-13;TRSF E-BANKING CR 1307/FTSCY/WS95011 19500000.00  Ud Rizki siantar RAMAWATY ;19500000.00;BCA;0;1;pembayaran PL. Tetap jaya tebing SO02635;08/15/12;0000-00-00 00:00:00;0;
59;2012-07-13;KR OTOMATIS LLG-MESTIKA DHARMA SAUDARA JAYA KISAR;19500000.00;BCA;965;1;pembayaran PL. Saudara jaya kisaran Do 6858;08/15/12;0000-00-00 00:00:00;0;
60;2012-07-13;KR OTOMATIS LLG-MESTIKA DHARMA TJIO TJIN TJAI /CA  BCA MEDAN;19750000.00;BCA;965;1;pembelian DO PL. Tetap jaya kisaran   DN01894;08/15/12;0000-00-00 00:00:00;0;
61;2012-07-13;SETORAN TUNAI;3250000.00;BCA;8430;1;pembayaran kekurangan bayar PL. Jaya lestari DO6727, 7467;08/15/12;0000-00-00 00:00:00;0;
62;2012-07-13;SETORAN TUNAI IDWAN PL. FUAD (BAD D  EBT) ;500000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
63;2012-07-13;SETORAN TUNAI BAKRI CV JAYA LESTARI;20000000.00;BCA;8285;1;pembayaran PL. Jaya lestari DN01716;08/15/12;0000-00-00 00:00:00;0;
64;2012-07-13;TRSF E-BANKING CR 1307/FTSCY/WS95011 59250000.00  byr semen 1500 sak dari tiga saudara  ROMI;59250000.00;BCA;0;1;pembayaran PL. Tiga saudara Do 7052,7240,7290;08/15/12;0000-00-00 00:00:00;0;
65;2012-07-13;SETORAN TUNAI DARMA PMBYRN SEMEN PA  NTARA 500SAK DR TEK SUI NO DO  5120 BLN FEB;20050000.00;BCA;8280;1;pembayaran PL. Tek sue DO 5120;08/15/12;0000-00-00 00:00:00;0;
66;2012-07-13;KR OTOMATIS LLG-BRI KCK SUDIRM UD LINSA RUDI SIMB  PT GUNUNG PANTARA BARISAN 8115054526 ;17100000.00;BCA;965;1;pembayaran PL. Linsa Do 7502;08/15/12;0000-00-00 00:00:00;0;
67;2012-07-09;IRWANSYAH ZEN-GUNUNG PANTARA Overbooking  DARI IRWANSYAH ZEN;20000000.00;Mandiri;;1;pembayaran Pl. Fariz DO 7078;dani;10/23/12 08:53 PM;0;
68;2012-07-10;PEMBAYARAN SEMEN/UD USAHA BARU/RIDUAN   Setor Tunai;20500000.00;Mandiri;;1;UD USAHA BARU Setor Tunai  DO 7536;dani;10/23/12 09:14 PM;0;
69;2012-07-10;EVAN Setor Tunai;43250000.00;Mandiri;;1;pembayaran Zam-zam SO02524,02563;dani;10/23/12 08:55 PM;0;
70;2012-07-12;MUNAWAR Setor Tunai;20250000.00;Mandiri;;1;MUNAWAR Setor Tunai 02704;dani;10/23/12 08:57 PM;0;
71;2012-07-12;PEM UANG SEMEN A/N RATT EVIS WESLISetor Tunai;19000000.00;Mandiri;;1;PEM UANG SEMEN A/N RATT EVIS WESLISetor Tunai PL> reyeni 02535;dani;10/23/12 08:58 PM;0;
72;2012-07-12;CV ZAMZAM  Setor Tunai;20250000.00;Mandiri;;1;CV ZAMZAM  Setor Tunai 02703;dani;10/23/12 09:12 PM;0;
73;2012-07-12;1000 ZAK SEMEN @40  Setor Tunai;42000000.00;Mandiri;;1;Setor Tunai PL. Surbakti DO 7298,7301;dani;10/23/12 09:13 PM;0;
74;2012-07-13;SEMEN 500 ZAK Transfer  DARI TEK SENG;21750000.00;Mandiri;;1;Pembayaran SEMEN 500 ZAK Transfer  DARI Global kusuma Mandiri 02733 ;dani;10/23/12 09:16 PM;0;
75;2012-07-16;SETORAN KLIRING #WARKAT L:01 I:00 KL;41000000.00;BCA;8115;1;pembayaran PL. Tek sue Do 7447, 7468;08/15/12;0000-00-00 00:00:00;0;
76;2012-07-16;SETORAN KLIRING #WARKAT L:01 I:00 KL;18486000.00;BCA;8115;1;pembayaran PL. Hanjaya DN01763;08/15/12;0000-00-00 00:00:00;0;
77;2012-07-16;SETORAN KLIRING #WARKAT L:01 I:00 KL;398000000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
78;2012-07-16;SETORAN KLIRING #WARKAT L:00 I:01 KL MESTIKA KSR;20000000.00;BCA;8115;1;pembayaran PL. Jasa laut Do7458;08/15/12;0000-00-00 00:00:00;0;
79;2012-07-16;SETORAN KLIRING #WARKAT L:01 I:00 KL;19750000.00;BCA;8115;1;pembayaran PL. SS jaya Do 7315;08/15/12;0000-00-00 00:00:00;0;
80;2012-07-16;SETORAN KLIRING #WARKAT L:00 I:01 KL MANDIRI KSR;20000000.00;BCA;8115;1;pembayaran UD. Ridho Do 7324;08/15/12;0000-00-00 00:00:00;0;
81;2012-07-16;SETORAN KLIRING #WARKAT L:00 I:01 KLG;19750000.00;BCA;8285;1;pembayaran PL. Subur DN01708;08/15/12;0000-00-00 00:00:00;0;
82;2012-07-16;SETORAN KLIRING #WARKAT L:00 I:01 KLG KARUNIA JAYA 7532;15900000.00;BCA;8285;1;pembayaran PL. Karunia jaya Do 7532;08/15/12;0000-00-00 00:00:00;0;
83;2012-07-16;SETORAN KLIRING #WARKAT L:00 I:01 KLG TB NAGA MAS 7459,7534,7558;50000000.00;BCA;8285;1;pembayaran TB. Naga mas Do 7459,7534,7558(02501);08/15/12;0000-00-00 00:00:00;0;
84;2012-07-16;SETORAN KLIRING #WARKAT L:00 I:01 KLG SERBA JADIS002660;19750000.00;BCA;8285;1;pembayaran PL. Serba jadi SO02658;08/15/12;0000-00-00 00:00:00;0;
85;2012-07-16;SETORAN KLIRING #WARKAT L:00 I:01 KLG KARUNIA JAYA (S002658);15000000.00;BCA;8285;0;;08/11/12;0000-00-00 00:00:00;0;
86;2012-07-16;SETORAN KLIRING #WARKAT L:00 I:01 KLG SINAR JAYADN 01813;19750000.00;BCA;8285;1;pembayaran PL. Sinar jaya DN01813;08/15/12;0000-00-00 00:00:00;0;
87;2012-07-16;SETORAN TUNAI TOKO TRI V JAYA TAMORA;19750000.00;BCA;7985;1;pembayaran PL. Tri V jaya DN01875;08/15/12;0000-00-00 00:00:00;0;
88;2012-07-16;KR OTOMATIS LLG-CIMB NIAGA GT. RUSMIATYD/RUSMIATY US KERA SAAN BCA CAB HM YA;19750000.00;BCA;965;1;pembayaran UD. US DN01722;08/15/12;0000-00-00 00:00:00;0;
89;2012-07-16;SETORAN TUNAI;20250000.00;BCA;8430;1;pembayaran PL. Karya maju bersama SO02756;08/15/12;0000-00-00 00:00:00;0;
90;2012-07-16;KR OTOMATIS LLG-MUAMALAT SUDIR MUHAMMAD YUSUFTRANSFER SKN MUHAM MAD YUSUF;21150000.00;BCA;965;1;pembayaran PL. Sumber pembangunan DN01818;08/15/12;0000-00-00 00:00:00;0;
91;2012-07-16;TRSF E-BANKING CR 16/07WSID:02921 LIM KIM KAI;19750000.00;BCA;0;1;pembayaran PL. Bangunan sejati DN01946;08/15/12;0000-00-00 00:00:00;0;
92;2012-07-16;SETORAN TUNAI MULYADI PANJAIT AN UD HARI JAYAPMBYRN DO NO 7 486 SEMEN SEBANYAK 500 SAK KSR ;19750000.00;BCA;297;1;pembayaran PL. Hari jaya Do 7486;08/15/12;0000-00-00 00:00:00;0;
93;2012-07-17;SETORAN KLIRING #WARKAT L:01 I:00 KL;19750000.00;BCA;8115;1;pembayaran PL. Sabar mulia DN01771;08/15/12;0000-00-00 00:00:00;0;
94;2012-07-17;SETORAN KLIRING #WARKAT L:01 I:00 USAHA MAKMUR7321;19750000.00;BCA;8115;1;pembayaran PL. Usaha makmur Do 7321;08/15/12;0000-00-00 00:00:00;0;
95;2012-07-17;SETORAN KLIRING #WARKAT L:01 I:00 PERMATA INDAH2688;20000000.00;BCA;8115;1;pembayaran PL. Permata indah SO02688;08/16/12;0000-00-00 00:00:00;0;
96;2012-07-17;SETORAN KLIRING #WARKAT L:00 I:01 SUMBER ILHAM(BELI CO);40000000.00;BCA;8115;1;pembayaran PL. Sumber ilham Do 7522, 7471;08/16/12;0000-00-00 00:00:00;0;
97;2012-07-17;SETORAN KLIRING #WARKAT L:01 I:00 IDOLA JAYA 7265;19750000.00;BCA;8115;1;pembayaran PL. Idola jaya Do7265;08/16/12;0000-00-00 00:00:00;0;
98;2012-07-17;SETORAN KLIRING #WARKAT L:00 I:01 KLG MANDIRIJAYA 7509;19875000.00;BCA;8285;1;pembayaran PL. Mandiri jaya Do 7509;08/16/12;0000-00-00 00:00:00;0;
99;2012-07-17;SETORAN KLIRING #WARKAT L:00 I:01 KLG BIMA MAJUDN 01773;20250000.00;BCA;8285;1;pembayaran PL. Bima maju DN01773;08/16/12;0000-00-00 00:00:00;0;
100;2012-07-17;SETORAN KLIRING #WARKAT L:00 I:01 KLG SIGMA BLOCK7505;20250000.00;BCA;8285;1;pembayaran PL. Sigma Block Do 7505;08/16/12;0000-00-00 00:00:00;0;
101;2012-07-17;SETORAN TUNAI PALA PINTO;19750000.00;BCA;8200;1;pembayaran PL. Pala pinto Do 7349;08/16/12;0000-00-00 00:00:00;0;
102;2012-07-17;SETORAN TUNAI;17700000.00;BCA;8255;0;;08/11/12;0000-00-00 00:00:00;0;
103;2012-07-17;TRSF E-BANKING CR 1707/FTSCY/WS95011 19750000 do.1789(BK8026DI) dr ud.martimbul-ksSUMARDI CHANDRA ;19750000.00;BCA;0;1;pembayaran UD. Martimbul DN01789;08/16/12;0000-00-00 00:00:00;0;
104;2012-07-17;TRSF E-BANKING CR 1707/FTSCY/WS95011 20000000 merbau no 7402 HERWIN SYAHPUTRA;20000000.00;BCA;0;1;pembayaran PL. Merbau Do 7402;08/16/12;0000-00-00 00:00:00;0;
105;2012-07-17;TRSF E-BANKING CR 07/17 75511 UD.TAS SO 02500JUNIAMAN SARAGIH;20400000.00;BCA;0;1;pembayaran UD. Tas SO02500;08/16/12;0000-00-00 00:00:00;0;
106;2012-07-17;SETORAN TUNAI GUNAWAN SEMEN 500 SAK PL NEW ERA 7350;20000000.00;BCA;8115;1;pembayaran PL. New era  Do: 7350;08/16/12;0000-00-00 00:00:00;0;
107;2012-07-17;SETORAN TUNAI RAHMAT SEMEN 500 SAK SISA KEKURANGAN PL AGRO SUKSESMANDIRI ;6000000.00;BCA;8115;1;pembayaran PL. Agrosukses mandiri Do 7287;08/16/12;0000-00-00 00:00:00;0;
108;2012-07-17;KR OTOMATIS PT. BANK CIMB NIAG BNIAIDJA/026407RUSMIATY BCA HM YAMIN MEDAN;39500000.00;BCA;998;0;;08/11/12;0000-00-00 00:00:00;0;
109;2012-07-18;SETORAN KLIRING #WARKAT L:01 I:00 KLG;20250000.00;BCA;7865;0;;08/11/12;0000-00-00 00:00:00;0;
110;2012-07-18;SETORAN TUNAI;19500000.00;BCA;8000;0;;08/11/12;0000-00-00 00:00:00;0;
111;2012-07-18;SETORAN KLIRING STR CL LKL #WARKAT L:01 I:00;207500000.00;BCA;8235;0;;08/11/12;0000-00-00 00:00:00;0;
112;2012-07-18;SETORAN TUNAI MDN MDNPANGLONG IQBAL JAYA;19750000.00;BCA;8195;0;;08/11/12;0000-00-00 00:00:00;0;
113;2012-07-18;KR OTOMATIS LLG-MESTIKA DHARMA SAUDARA JAYA /EKO ;19500000.00;BCA;965;0;;08/11/12;0000-00-00 00:00:00;0;
114;2012-07-18;SETORAN IDWAN MENARA STATION(CBO);20250000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
115;2012-07-19;SETORAN KLIRING #WARKAT L:01 I:00 BERKAT GRAND ANGGREK 6787;20250000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
116;2012-07-19;SETORAN KLIRING #WARKAT L:01 I:00 PT KLUMPANG JAYA 7222 7331;39500000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
117;2012-07-19;SETORAN KLIRING #WARKAT L:01 I:00 PT SUSAN PILAR7347 7510;39500000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
118;2012-07-19;SETORAN KLIRING #WARKAT L:01 I:00 PT KARYA JAYA6036;19500000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
119;2012-07-19;SETORAN KLIRING #WARKAT L:01 I:00 PT BERKAT GRANDANGGREK 6553;80750000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
120;2012-07-19;SETORAN KLIRING #WARKAT L:01 I:00 KLG TANI JAYA7506;20000000.00;BCA;8285;0;;08/11/12;0000-00-00 00:00:00;0;
121;2012-07-19;SETORAN KLIRING #WARKAT L:00 I:01 KLG INDOMASDN 01772;19875000.00;BCA;8285;0;;08/11/12;0000-00-00 00:00:00;0;
122;2012-07-19;SETORAN TUNAI UD BANI P.SIANTAR;7050000.00;BCA;8200;0;;08/11/12;0000-00-00 00:00:00;0;
123;2012-07-19;TRSF E-BANKING CR 19/07WSID:55191 SUYATNO;19750000.00;BCA;0;0;;08/11/12;0000-00-00 00:00:00;0;
124;2012-07-19;SETORAN TUNAI PALA PINTO P.SIANTAR;19750000.00;BCA;8200;0;;08/11/12;0000-00-00 00:00:00;0;
125;2012-07-19;SETORAN TUNAI AHMAD UD REZA MASSEMEN 500 SAK;20000000.00;BCA;8285;0;;08/11/12;0000-00-00 00:00:00;0;
126;2012-07-19;SETORAN TUNAI JAMILAH PMBYRN 500 SAKSEMEN PL ANTARA JAYA 7548;19875000.00;BCA;8285;0;;08/11/12;0000-00-00 00:00:00;0;
127;2012-07-19;KR OTOMATIS LLG-MESTIKA DHARMA YANTO CHIN JAYA AK ;20500000.00;BCA;965;0;;08/11/12;0000-00-00 00:00:00;0;
128;2012-07-19;KR OTOMATIS LLG-SYARIAH MANDIR FEBRINA SIONADERTRF BCA MEDAN;20250000.00;BCA;965;0;;08/11/12;0000-00-00 00:00:00;0;
129;2012-07-19;KR OTOMATIS LLG-BPD SUMUT MEDA UD FAUZARPEMBAYARAN BARANG;20000000.00;BCA;965;0;;08/11/12;0000-00-00 00:00:00;0;
130;2012-07-20;SETORAN KLIRING #WARKAT L:01 I:00 PT SABAR JAYA1751;19875000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
131;2012-07-20;SETORAN KLIRING #WARKAT L:00 I:01 KL BII KISARAN;19875000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
132;2012-07-20;SETORAN KLIRING #WARKAT L:00 I:01 PANEN RAYA 73147309 7358 7419;113400000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
133;2012-07-20;SETORAN KLIRING #WARKAT L:01 I:00 PT RIMBUN 7178;19750000.00;BCA;8115;0;;08/11/12;0000-00-00 00:00:00;0;
134;2012-07-20;SETORAN KLIRING #WARKAT L:01 I:00 KLG IMMANUEL7479;20000000.00;BCA;8285;0;;08/11/12;0000-00-00 00:00:00;0;
135;2012-07-20;TRSF E-BANKING CR 07/20 85281 PANGLONG PURSIDAPINTA RONITTO SITA;19750000.00;BCA;0;0;;08/11/12;0000-00-00 00:00:00;0;
136;2012-07-20;SETORAN TUNAI SUDIRMAN TJB;19875000.00;BCA;52;0;;08/11/12;0000-00-00 00:00:00;0;
137;2012-07-20;SETORAN TRSF DR 8285002318 UTAMA BANGUNANINDRAPURA;195000000.00;BCA;8285;0;;08/11/12;0000-00-00 00:00:00;0;
138;2012-07-20;SETORAN TUNAI FERDINAN P.SIANTAR;19500000.00;BCA;8200;0;;08/11/12;0000-00-00 00:00:00;0;
