Sales Order;Delivery Note;Invoice;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales Term;Grand Total
SO05522;DN04700;INV03733;2013-01-02;2013-01-01;Tunas Family T. Balai 1;500;Sak;Serkibata;S Terms CBD;20000001.17
SO05524;DN04697;INV03730;2013-01-02;2013-01-16;Usaha Baru Batangkuis 1;500;Sak;Tatemlukam;S Terms TOP 14 Day;20125000.44
SO05525;DN04695;INV03728;2013-01-02;2013-02-01;Darmawan Sejahtera;500;Sak;Tatemlukam;S Terms TOP 30 Day;20375000.77
SO05506;DN04704;INV03737;2013-01-03;2013-01-02;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19650001.40
SO05515;DN04705;INV03738;2013-01-03;2013-01-02;Tetap Jaya Kisaran 1;500;Sak;Serkibata;S Terms CBD;20000001.17
SO05523;DN04709;INV03740;2013-01-03;2013-01-17;Sabar Jaya Marendal 1;500;Sak;Medan;S Terms TOP 14 Day;20125000.44
SO05526;DN04706;INV03739;2013-01-03;2013-01-02;Martimbul Kisaran 1;500;Sak;Serkibata;DO Terms;19750000.30
SO05527;DN04707;INV03741;2013-01-03;2013-01-02;Martimbul Kisaran 1;500;Sak;Serkibata;DO Terms;19750000.30
SO05528;DN04708;INV03742;2013-01-03;2013-01-02;Martimbul Kisaran 1;500;Sak;Serkibata;DO Terms;19750000.30
SO05529;DN04710;INV03743;2013-01-03;2013-01-02;Martimbul Kisaran 1;500;Sak;Serkibata;DO Terms;19750000.30
SO05531;DN04711;INV03744;2013-01-03;2013-01-02;Maju Jaya Inalum 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.44
SO05532;DN04716;INV03749;2013-01-03;2013-01-17;Gambir Aek Kanopan 1;500;Sak;Rapakoba;S Terms TOP 14 Day;20750001.14
SO05533;DN04712;INV03745;2013-01-03;2013-01-17;Pelita Serbelawan 1;500;Sak;Sibatopasa;S Terms TOP 14 Day;20125000.44
SO05536;DN04715;INV03748;2013-01-03;2013-01-17;Residen Kualah Selatan 1;500;Sak;Rapakoba;S Terms TOP 14 Day;20750001.14
SO05537;DN04713;INV03746;2013-01-03;2013-01-17;Rizki Tanjung Morawa 1;500;Sak;Tatemlukam;S Terms TOP 14 Day;20125000.44
SO05538;DN04714;INV03747;2013-01-03;2013-01-02;Sumarman Galang 1;100;Sak;Tatemlukam;S Terms CBD;3850000.00
SO05504-2;DN04799;INV03823;2013-01-04;2013-01-03;Desa Maju Polonia 1;500;Sak;Medan;S Terms CBD;20000000.40
SO05530;DN04724;INV03757;2013-01-04;2013-01-18;Cahaya Baru Sei Bulu 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.44
SO05540;DN04718;INV03751;2013-01-04;2013-01-18;Usaha Baru Batangkuis 1;500;Sak;Tatemlukam;S Terms TOP 14 Day;20125001.19
SO05541;DN04727;INV03760;2013-01-04;2013-02-03;Sumber Baru Batang Kuis 1;500;Sak;Tatemlukam;S Terms TOP 30 Day;20375001.29
SO05542;DN04726;INV03759;2013-01-04;2013-01-18;Tunas Family T. Balai 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.31
SO05543-2;DN04800;INV03824;2013-01-04;2013-01-18;Mandiri Jaya Marendal 1;500;Sak;Medan;S Terms TOP 14 Day;20125001.19
SO05544;DN04720;INV03753;2013-01-04;2013-01-18;Usaha Makmur Laut dendang1;500;Sak;Medan;S Terms TOP 14 Day;20125001.19
SO05545;DN04719;INV03752;2013-01-04;2013-01-03;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19650001.20
SO05547;DN04723;INV03756;2013-01-04;2013-02-03;Maja Agung Galang 1;500;Sak;Tatemlukam;S Terms TOP 30 Day;20375001.29
SO05549;DN04728;INV03761;2013-01-04;2013-01-18;Wandi Rantau Selatan 1;500;Sak;Rapakoba;S Terms TOP 14 Day;21125001.00
SO05550;DN04722;INV03755;2013-01-04;2013-01-03;Bima Maju Binjai 1;500;Sak;Binlangkar;S Terms CBD;20250000.60
SO05551;DN04725;INV03758;2013-01-04;2013-01-03;Bima Maju Binjai 1;500;Sak;Binlangkar;S Terms CBD;20250015.99
SO05535;DN04730;INV03763;2013-01-05;2013-01-19;Rezeki Makmur T . Balai 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.44
SO05546;DN04729;INV03762;2013-01-05;2013-01-04;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19650001.20
SO05548;DN04731;INV03764;2013-01-05;2013-01-19;Maju Jaya Tebing 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125001.25
SO05552;DN04732;INV03765;2013-01-05;2013-01-19;Obor Siantar 1;500;Sak;Sibatopasa;S Terms TOP 14 Day;20125000.69
SO05510-1;DN04746;INV03774;2013-01-09;2013-01-23;Indomas Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05553-1;DN04744;INV03772;2013-01-09;2013-01-23;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20125000.69
SO05557;DN04750;INV03778;2013-01-09;2013-01-31;Merbau Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 21 Day;20500001.85
SO05558;DN04741;INV03769;2013-01-09;2013-01-08;Utama Bangunan Batubara 1;500;Sak 40kg;Serkibata;DO Terms;19650001.20
SO05559;DN04738;INV03767;2013-01-09;2013-01-23;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20125000.69
SO05560;DN04739;INV03768;2013-01-09;2013-01-23;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20125000.69
SO05561;DN04753;INV03781;2013-01-09;2013-01-08;US Siantar 1;500;Sak 40kg;Sibatopasa;DO Terms;19750000.70
SO05565;DN04737;INV03766;2013-01-09;2013-01-23;Mutiara Pantai Batubara 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20375001.44
SO05566;DN04743;INV03771;2013-01-09;2013-01-08;Desa Maju Polonia 1;500;Sak 40kg;Medan;S Terms CBD;20000000.40
SO05567;DN04742;INV03770;2013-01-09;2013-01-08;Linsa Pangururan 1;450;Sak 40kg;Sibatopasa;S Terms CBD;17325000.00
SO05569;DN04745;INV03773;2013-01-09;2013-02-08;Surya Kencana Lubuk Pakam 1;500;Sak 40kg;Tatemlukam;S Terms TOP 30 Day;20625000.24
SO05570;DN04747;INV03775;2013-01-09;2013-01-23;Usaha Makmur Laut dendang1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20375000.69
SO05572;DN04756;INV03784;2013-01-09;2013-01-23;Residen Kualah Selatan 1;500;Sak 40kg;Rapakoba;S Terms TOP 14 Day;20750001.24
SO05573;DN04758;INV03786;2013-01-09;2013-01-23;Jasa Laut Tanjung Tiram 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20375001.44
SO05575;DN04748;INV03776;2013-01-09;2013-01-23;Tunas Family T. Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.31
SO05576;DN04755;INV03783;2013-01-09;2013-01-23;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20125018.13
SO05577;DN04759;INV03787;2013-01-09;2013-01-23;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20125000.69
SO05578;DN04752;INV03780;2013-01-09;2013-01-23;Saudara Jaya Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05579;DN04757;INV03785;2013-01-09;2013-01-23;Saudara Jaya Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05580;DN04751;INV03779;2013-01-09;2013-01-23;Bangun Baru Perbaungan 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.50
SO05581;DN04749;INV03777;2013-01-09;2013-01-23;Rezeki Makmur T . Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.31
SO05582;DN04754;INV03782;2013-01-09;2013-01-08;Tetap Jaya Tebing 1;500;Sak 40kg;Serkibata;DO Terms;19750000.70
SO05556;DN04740-1;INV03796;2013-01-10;2013-01-24;TAS Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;19500001.67
SO05563;DN04776;INV03804;2013-01-10;2013-01-24;Maryam Talawi 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20375001.44
SO05564;DN04780;INV03808;2013-01-10;2013-01-24;Maryam Talawi 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20375001.44
SO05568;DN04764;INV03790;2013-01-10;2013-02-09;Berkat Grand Angrek 1;500;Sak 40kg;Medan;S Terms TOP 30 Day;20625000.24
SO05583;DN04762;INV03789;2013-01-10;2013-01-24;Mandiri Tembung 1;500;Sak 40kg;Tatemlukam;S Terms TOP 14 Day;20375000.69
SO05584;DN04761;INV03788;2013-01-10;2013-01-09;Winmar Lubuk Pakam 1;500;Sak 40kg;Tatemlukam;S Terms CBD;20500000.09
SO05585;DN04769;INV03797;2013-01-10;2013-01-24;Hanjaya Patumbak 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20125001.19
SO05586;DN04770;INV03798;2013-01-10;2013-01-24;Permata Indah Patumbak 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.16
SO05587;DN04763;INV03791;2013-01-10;2013-01-24;Juliandi Property Medan 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20750000.13
SO05588;DN04765;INV03792;2013-01-10;2013-01-24;Berdikari Tanjung Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.31
SO05589;DN04767;INV03794;2013-01-10;2013-01-24;Mino Jaya Tanjung Tiram 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.00
SO05590;DN04773;INV03801;2013-01-10;2013-01-09;Total Mandiri Medan 1;500;Sak 40kg;Medan;DO Terms;20000000.70
SO05592;DN04772;INV03800;2013-01-10;2013-01-24;Kembar Jaya Namorambe 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20125001.19
SO05593;DN04777;INV03805;2013-01-10;2013-01-24;Putra Jaya Tebing 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20375000.18
SO05595;DN04768;INV03795;2013-01-10;2013-01-24;Sinar Jaya Perbaungan 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.50
SO05597;DN04766;INV03793;2013-01-10;2013-01-24;Cahaya Baru Sei Bulu 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.50
SO05598;DN04778;INV03806;2013-01-10;2013-01-24;Indomas Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05599;DN04779;INV03807;2013-01-10;2013-01-24;Indomas Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.10
SO05600;DN04781;INV03809;2013-01-10;2013-01-24;Fariz Dolok Batu Nanggar 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.70
SO05601;DN04771;INV03799;2013-01-10;2013-01-24;Jaya Block Medan 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05605;DN04775;INV03803;2013-01-10;2013-01-24;Bahagia Jaya By pass 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05606;DN04774;INV03802;2013-01-10;2013-02-09;Usaha Baru Tanjung Morawa 1;500;Sak 40kg;Tatemlukam;S Terms TOP 30 Day;20625000.24
SO05555;DN04784;INV03812;2013-01-11;2013-01-10;Hartono Perdagangan 1;500;Sak 40kg;Serkibata;DO Terms;19000000.00
SO05574;DN04785;INV03813;2013-01-11;2013-01-25;Fariz Dolok Batu Nanggar 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.70
SO05591;DN04791;INV03816;2013-01-11;2013-01-25;Permata Indah Patumbak 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.16
SO05594;DN04783;INV03811;2013-01-11;2013-01-25;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20125000.69
SO05596;DN04782;INV03810;2013-01-11;2013-01-25;Sinar Jaya Perbaungan 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.50
SO05602;DN04797;INV03821;2013-01-11;2013-01-25;Tio Jaya Mandiri Damuli 1;500;Sak 40kg;Rapakoba;S Terms TOP 14 Day;20750001.24
SO05603;DN04793;INV03818;2013-01-11;2013-01-10;Kencana Agung Johor 1;500;Sak 40kg;Medan;DO Terms;19750000.60
SO05604;DN04795;INV03820;2013-01-11;2013-01-10;Kencana Agung Johor 1;500;Sak 40kg;Medan;DO Terms;19750000.60
SO05607;DN04790;INV03815;2013-01-11;2013-01-25;Sabar Mulia Sei Bulu 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.50
SO05610;DN04792;INV03817;2013-01-11;2013-01-25;Watt Aek Kanopan 1;500;Sak 40kg;Rapakoba;S Terms TOP 14 Day;20750001.24
SO05613;DN04787;INV03814;2013-01-11;2013-01-10;Sumarman Galang 1;150;Sak 40kg;Tatemlukam;S Terms CBD;5850000.50
SO05618;DN04794;INV03819;2013-01-11;2013-01-25;Nanda Nindi Medan 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05620-1;DN04820;INV03844;2013-01-11;2013-01-10;Sejahterah Perdagangan 1;500;Sak 40kg;Serkibata;DO Terms;19000000.00
SO05611;DN04798;INV03822;2013-01-12;2013-01-26;Bintang Karya Mandiri Baganbatu 1;500;Sak 40kg;Rapakoba;S Terms TOP 14 Day;21500001.38
SO05614;DN04810;INV03834;2013-01-12;2013-01-11;Linsa Pangururan 1;450;Sak 40kg;Sibatopasa;S Terms CBD;17325000.00
SO05617;DN04814;INV03838;2013-01-12;2013-01-26;Harapan Jaya Alfalah 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05622;DN04802;INV03826;2013-01-12;2013-01-26;Usaha Baru Batangkuis 1;500;Sak 40kg;Tatemlukam;S Terms TOP 14 Day;20125001.19
SO05623;DN04805;INV03829;2013-01-12;2013-01-26;Rizki Tanjung Morawa 1;500;Sak 40kg;Tatemlukam;S Terms TOP 14 Day;20250000.93
SO05625;DN04803;INV03827;2013-01-12;2013-01-26;Naspa Talawi 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20250001.69
SO05626;DN04804;INV03828;2013-01-12;2013-01-11;Tetap Jaya Tebing 1;500;Sak 40kg;Serkibata;DO Terms;19750001.20
SO05627;DN04807;INV03831;2013-01-12;2013-01-11;Berkat Perbaungan 1;500;Sak 40kg;Serkibata;DO Terms;19750001.80
SO05628;DN04809;INV03833;2013-01-12;2013-01-11;Berkat Perbaungan 1;500;Sak 40kg;Serkibata;DO Terms;19750001.80
SO05629;DN04808;INV03832;2013-01-12;2013-01-11;Berkat Perbaungan 1;500;Sak 40kg;Serkibata;DO Terms;19750001.80
SO05632;DN04806;INV03830;2013-01-12;2013-01-26;Lembah Melintang Denai 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05635-1;DN04801;INV03825;2013-01-12;2013-01-26;Selesai Jaya  Tembung 1;500;Sak 40kg;Tatemlukam;S Terms TOP 14 Day;20250000.15
SO05636;DN04816;INV03840;2013-01-12;2013-01-11;Hartono Perdagangan 1;500;Sak 40kg;Serkibata;DO Terms;19000000.00
SO05638;DN04818;INV03842;2013-01-12;2013-01-26;Naga Mas (Bintang Mas) Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05642;DN04812;INV03836;2013-01-12;2013-01-26;Tetap Jaya Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05644;DN04811;INV03835;2013-01-12;2013-01-26;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20125000.69
SO05645;DN04817;INV03841;2013-01-12;2013-01-26;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20125000.69
SO05646;DN04819;INV03843;2013-01-12;2013-01-26;Obor Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20125000.69
SO05647;DN04815;INV03839;2013-01-12;2013-01-26;Indomas Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05648;DN04813;INV03837;2013-01-12;2013-01-26;Rezeki Makmur T . Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20250000.06
SO05608;DN04829;INV03853;2013-01-14;2013-01-28;Dunia Co Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05609;DN04830;INV03854;2013-01-14;2013-01-28;Dunia Co Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05615;DN04821;INV03845;2013-01-14;2013-01-13;Kencana Agung Johor 1;500;Sak 40kg;Medan;DO Terms;19750000.60
SO05616;DN04822;INV03846;2013-01-14;2013-01-13;Kencana Agung Johor 1;500;Sak 40kg;Medan;DO Terms;19750000.60
SO05619;DN04824;INV03848;2013-01-14;2013-01-28;Rudi Pancing 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05637;DN04839;INV03863;2013-01-14;2013-01-28;Tamba Jaya Bagan Batu 1;500;Sak 40kg;Rapakoba;S Terms TOP 14 Day;22000000.01
SO05649;DN04823;INV03847-1;2013-01-14;2013-01-13;Tetap Jaya Tebing 1;500;Sak 40kg;Serkibata;DO Terms;19750001.20
SO05650;DN04837;INV03861;2013-01-14;2013-01-13;Hartono Perdagangan 1;500;Sak 40kg;Serkibata;DO Terms;19000000.00
SO05652;DN04827;INV03851;2013-01-14;2013-02-04;Rezeki Makmur T . Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 21 Day;20375000.02
SO05653;DN04825;INV03849;2013-01-14;2013-01-13;Berkat Perbaungan 1;500;Sak 40kg;Serkibata;DO Terms;19750001.80
SO05654;DN04826;INV03850;2013-01-14;2013-01-13;Berkat Perbaungan 1;500;Sak 40kg;Serkibata;DO Terms;19750001.80
SO05655;DN04833;INV03856;2013-01-14;2013-01-28;Residen Kualah Selatan 1;500;Sak 40kg;Rapakoba;S Terms TOP 14 Day;20750001.24
SO05656;DN04832;INV03857;2013-01-14;2013-01-28;Wandi Rantau Selatan 1;500;Sak 40kg;Rapakoba;S Terms TOP 30 Day;21375013.88
SO05658;DN04834;INV03860;2013-01-14;2013-01-13;Sejahterah Perdagangan 1;500;Sak 40kg;Serkibata;DO Terms;19000000.00
SO05660;DN04838;INV03862;2013-01-14;2013-01-28;Reyeni Aeknabara 1;500;Sak 40kg;Rapakoba;S Terms TOP 14 Day;19500001.69
SO05661;DN04828;INV03852;2013-01-14;2013-01-28;Sinar Jaya T. Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20250000.06
SO05668;DN04831;INV03855;2013-01-14;2013-01-28;Selama Indah T . Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20250000.06
SO05669;DN04836;INV03859;2013-01-14;2013-01-28;Tunas Family T. Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20250000.06
SO05624;DN04854;INV03877;2013-01-15;2013-01-29;Pala Pintu Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20250000.44
SO05634;DN04855;INV03878;2013-01-15;2013-01-14;Kencana Agung Johor 1;500;Sak 40kg;Medan;DO Terms;19750000.60
SO05651;DN04841;INV03865;2013-01-15;2013-02-05;Abang Adek Pagurawan 1;500;Sak 40kg;Serkibata;S Terms TOP 21 Day;20500001.70
SO05657;DN04840;INV03864;2013-01-15;2013-01-14;Linsa Pangururan 1;450;Sak 40kg;Sibatopasa;S Terms CBD;17550001.51
SO05666;DN04851;INV03874;2013-01-15;2013-01-29;Karya Vika Jaya Namorambe 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05671;DN04846;INV03869;2013-01-15;2013-01-29;Rizki Tanjung Morawa 1;500;Sak 40kg;Tatemlukam;S Terms TOP 14 Day;20250000.93
SO05672;DN04844;INV03867;2013-01-15;2013-01-29;TAS Siantar 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;20750001.88
SO05673;DN04842;INV03880;2013-01-15;2013-01-14;Utama Bangunan Batubara 1;500;Sak 40kg;Serkibata;DO Terms;19650001.20
SO05674;DN04853;INV03876;2013-01-15;2013-01-14;Utama Bangunan Batubara 1;500;Sak 40kg;Serkibata;DO Terms;19650001.20
SO05676;DN04843;INV03866;2013-01-15;2013-01-29;Bahagia Jaya By pass 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05677;DN04852;INV03875;2013-01-15;2013-01-29;Bahagia Jaya By pass 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05678;DN04845;INV03868;2013-01-15;2013-01-29;Hanjaya Patumbak 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05679;DN04848;INV03871;2013-01-15;2013-02-05;Maju Jaya Inalum 1;500;Sak 40kg;Serkibata;S Terms TOP 21 Day;20375000.03
SO05680;DN04849;INV03872;2013-01-15;2013-02-14;Maju Jaya Inalum 1;500;Sak 40kg;Serkibata;S Terms TOP 30 Day;20500000.39
SO05681;DN04847;INV03870;2013-01-15;2013-02-05;Immanuel Batu Bara 1;500;Sak 40kg;Serkibata;S Terms TOP 21 Day;20375000.85
SO05682;DN04856;INV03879;2013-01-15;2013-02-14;Usaha Adek Sigambal 1;500;Sak 40kg;Rapakoba;S Terms TOP 30 Day;21375000.13
SO05683;DN04850;INV03873;2013-01-15;2013-01-29;Permata Indah Patumbak 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05562;DN04859;INV03883;2013-01-16;2013-01-15;US Siantar 1;500;Sak 40kg;Sibatopasa;DO Terms;19750000.70
SO05612;DN04857;INV03881;2013-01-16;2013-01-30;Bintang Karya Mandiri Baganbatu 1;500;Sak 40kg;Rapakoba;S Terms TOP 14 Day;21500001.38
SO05639;DN04875;INV03899;2013-01-16;2013-01-30;Naga Mas (Bintang Mas) Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05641;DN04876;INV03900;2013-01-16;2013-01-30;Naga Mas (Bintang Mas) Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05643;DN04878;INV03902;2013-01-16;2013-01-30;Naga Mas (Bintang Mas) Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20125000.69
SO05662;DN04858;INV03882;2013-01-16;2013-01-15;Kencana Agung Johor 1;500;Sak 40kg;Medan;DO Terms;19750000.60
SO05663;DN04860;INV03886;2013-01-16;2013-01-15;Kencana Agung Johor 1;500;Sak 40kg;Medan;DO Terms;19750000.60
SO05664;DN04865;INV03889;2013-01-16;2013-01-30;Susan Pilar Medan 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05670;DN04881;INV03904;2013-01-16;2013-01-30;Karunia Jaya Bahagia 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05675;DN04861;INV03884;2013-01-16;2013-01-30;Idola Jaya Johor 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05684;DN04868;INV03892;2013-01-16;2013-01-30;Indomas Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20250000.44
SO05685;DN04877;INV03901;2013-01-16;2013-01-15;Kencana Agung Johor 1;500;Sak 40kg;Medan;DO Terms;19750000.60
SO05686;DN04864;INV03888;2013-01-16;2013-01-30;Saudara Jaya Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20250000.44
SO05687;DN04873;INV03897;2013-01-16;2013-01-30;Tetap Jaya Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20250000.44
SO05688;DN04879;INV03906;2013-01-16;2013-01-15;Utama Bangunan Batubara 1;500;Sak 40kg;Serkibata;DO Terms;19650001.20
SO05689;DN04863;INV03887;2013-01-16;2013-01-15;Mino Jaya Tanjung Tiram 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20250001.69
SO05690;DN04862;INV03885;2013-01-16;2013-01-30;Sinar Family TJ Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;20250000.06
SO05691;DN04867;INV03891;2013-01-16;2013-01-30;Sabar Jaya Marendal 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;20250000.93
SO05692;DN04866;INV03890;2013-01-16;2013-02-15;Rizky Marendal 1;500;Sak 40kg;Medan;S Terms TOP 30 Day;20500000.75
SO05693;DN04880;INV03903;2013-01-16;2013-02-15;Berkat Grand Angrek 1;500;Sak 40kg;Medan;S Terms TOP 30 Day;20625000.23
SO05694;DN04872;INV03896;2013-01-16;2013-02-06;Raja Pas Bangunan Rantau Prapat 1;500;Sak 40kg;Rapakoba;S Terms TOP 21 Day;21375001.35
SO05695;DN04871;INV03895;2013-01-16;2013-02-15;Laris Jaya Kota Pinang 1;500;Sak 40kg;Rapakoba;S Terms TOP 30 Day;21500000.65
SO05696;DN04870;INV03894;2013-01-16;2013-02-06;Sumber Pembangunan Aeknabara 1;500;Sak 40kg;Rapakoba;S Terms TOP 21 Day;21500000.40
SO05697;DN04882;INV03905;2013-01-16;2013-02-15;Darmawan Sejahtera;500;Sak 40kg;Tatemlukam;S Terms TOP 30 Day;20500000.75
